S,優勢強項維持高檔收斂獲利利益開創報喜
W,劣勢弱項弱點回落季減虧損谷底憂障礙
O,機會潛力成長收斂
T,威脅虧損回落下跌回落對手沒落失敗
S,獨特成功
W,缺乏低落
O,機緣時機缺口擴張
T,變化下滑動盪競爭替代不利
S,人才增加已具有?產能?
O,已形成產業聚?群聚
O,龐大下游產業需求
O,政府支持
O,取得技術移轉與策??盟
S,研發新產品技術的能?
S,應變能?強
S,成本及地緣關係佳
S,豐富的高級人?資源
O,政府之支持與租稅獎?
O,供應鏈上下游結構完整
O,商合作關係緊密
S,產品具價格優勢
S,新產品多元開發積極
S,新產品上市速度快速
S,?好的生產能?與經驗
O,自由及健全的?融環境
S,發展高價值利基型應用市場與新興技術
S,布局未來新興場域應用與前瞻技術
S,模組到整機與品牌的全方位解決方案
S,智慧顯示應用商機龐大
S,領導地位
O,合作已建立穩固基礎
W,過高障礙
W,缺乏缺料
W,不擅長
W,無法掌握
W,?足短缺
W,有待提升
W,落後過時
O,需求旺盛
O,產業應用層面廣大
O,改變創新產生新機會
O,轉型新應用市場持續擴展
O,技術發展創造新需求
O,政府官方支持資源補貼
O,景氣?甦商機出現
O,新創發展產業轉型
O,加盟外部合作關係地區合作
T,加入競爭市場飽和
T,競爭威脅
T,侵權侵犯
T,產能價格戰
T,產能過剩低價競爭
T,景氣循環價格波動
T,低價削價競爭
T,市場需求疲弱
W,需要多多努力
T,通膨
